,zipcode,city,quarter,region,learn_more,population_density,retail_sparsity,potential
260,22457,Hamburg,Hamburg-Schnelsen,Hamburg,/wiki/Hamburg-Schnelsen,0.1713128397581462,0.9952941174600639,0.6059933744219898
261,12439,Berlin,Berlin-Niederschöneweide,Berlin,/wiki/Berlin-Niedersch%C3%B6neweide,0.1940701723114447,0.9716838014130045,0.6055078599667718
262,38226,Salzgitter,Salzgitter-Lebenstedt,Niedersachsen,/wiki/Lebenstedt,0.1714360101079442,0.9938305980667897,0.6052304536381701
263,50999,Köln,Köln-Sürth,Nordrhein-Westfalen,/wiki/S%C3%BCrth,0.164737642365003,1.0,0.6049293686244285
264,60314,Frankfurt am Main,Frankfurt am Main-Ostend,Hessen,/wiki/Frankfurt-Ostend,0.2784691377842437,0.8858206096185576,0.60467442878074
265,22459,Hamburg,Hamburg-Niendorf,Hamburg,/wiki/Hamburg-Niendorf,0.1674703167936775,0.9966651225594093,0.6045865973171292
266,44869,Bochum,Bochum-Eppendorf,Nordrhein-Westfalen,/wiki/Eppendorf_(Bochum),0.1684066128139915,0.995214356816403,0.6042937634124099
267,45136,Essen/Ruhr,Essen/Ruhr-Bergerhausen,Nordrhein-Westfalen,/wiki/Bergerhausen_(Essen),0.1805115747362367,0.9830926371465856,0.6042842249761532
268,30451,Hannover,Hannover-Linden-Nord,Niedersachsen,/wiki/Linden-Limmer,0.2892179948045386,0.874011217873192,0.6040707770769864
269,30449,Hannover,Hannover-Linden-Süd,Niedersachsen,/wiki/Linden-Limmer,0.2892179948045386,0.874011217873192,0.6040707770769864
270,30159,Hannover,Hannover-Mitte,Niedersachsen,/wiki/Linden-Limmer,0.2892179948045386,0.874011217873192,0.6040707770769864
271,30453,Hannover,Hannover-Linden-Mitte,Niedersachsen,/wiki/Linden-Limmer,0.2892179948045386,0.874011217873192,0.6040707770769864
272,13627,Berlin,Berlin-Charlottenburg-Nord,Berlin,/wiki/Berlin-Charlottenburg-Nord,0.1631449104962232,1.0,0.6040227926458367
273,04129,Leipzig,Leipzig-Eutritzsch,Sachsen,/wiki/Eutritzsch,0.1656112866483314,0.9969508321229247,0.6036910701577431
274,39110,Magdeburg,Magdeburg-Stadtfeld West,Sachsen-Anhalt,/wiki/Stadtfeld_West,0.1642754664582045,0.9969774670317801,0.602945887650385
275,45327,Essen/Ruhr,Essen/Ruhr-Katernberg,Nordrhein-Westfalen,/wiki/Stoppenberg,0.1614181145404201,0.9973710152847911,0.6015435014344543
276,65189,Wiesbaden,Wiesbaden-Südost,Hessen,/wiki/Wiesbaden-S%C3%BCdost,0.1670436254225749,0.9914696991759141,0.6013865143117518
277,04159,Leipzig,Leipzig-Möckern,Sachsen,/wiki/M%C3%B6ckern_(Leipzig),0.1696183206102796,0.9881613017389856,0.6009688942166038
